"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"제주도청 1청사",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 문연로 6,제주특별자치도 제주시 연동 312-1,환경부(한국자동차환경협회),,33.4888341,126.4980797,2018-07-03
"제주시청",입구 좌측 주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 광양9길 10,제주특별자치도 제주시 이도2동 1176-1,환경부(한국자동차환경협회),,33.4999974,126.5319439,2018-07-03
"제주도청 제2청사",제2청사 입구 좌측 본관 주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 문연로 30,제주특별자치도 제주시 연동 322-1,환경부(한국자동차환경협회),,33.4890071,126.5006816,2018-07-03
"제주애월읍사무소",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 애월읍 일주서로 6322,제주특별자치도 제주시 애월읍 애월리 240,환경부(한국자동차환경협회),,33.466277,126.3511114,2018-07-03
"구좌읍사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 구좌읍 일주동로 3116,제주특별자치도 제주시 구좌읍 세화리 1561-7,환경부(한국자동차환경협회),,33.5225439,126.8520848,2018-07-03
"산굼부리",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 비자림로 768,제주특별자치도 제주시 조천읍 교래리 342-2,환경부(한국자동차환경협회),,33.4349076,126.6885996,2018-07-03
"한경면체육관",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 한경면 칠전로 41,제주특별자치도 제주시 한경면 고산리 1881-2,환경부(한국자동차환경협회),,33.3014102,126.1845554,2018-07-03
"한라도서관",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 오남로 221,제주특별자치도 제주시 오라이동 899-3,환경부(한국자동차환경협회),,33.4763664,126.516046,2018-07-03
"거문오름",소형주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 선교로 569-36,제주특별자치도 제주시 조천읍 선흘리 478,환경부(한국자동차환경협회),,33.4570307,126.7142999,2018-07-03
"동백동산습지센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 선흘리 산12,,환경부(한국자동차환경협회),,33.5142094,126.718764,2018-07-03
"어리목휴게소",오른쪽 화장실 앞,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 220-13,환경부(한국자동차환경협회),,33.3922314,126.4945663,2018-07-03
"제주현대미술관",입구 주차장 D구역,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 한경면 저지리 2114-82,,환경부(한국자동차환경협회),,33.338432,126.2659642,2018-07-03
