트위터,날짜
"[노컷뉴스] ""유신정권의 유산으로 세운 기업"" 티몬 불매운동 확산 http://cbs.kr/Zy4k2K 일본 식민지시대, 유신독재시대 권력자 편에서 국민을 탄압하고 착취하며 공생하던 세력들은 한번도 국민의 심판을 받지않고 대대로 부를 이어온다.",2016-12-25
"사실 이번 폭설회항은 홋카이도에 제가 못 간게 아니라 안 간 겁니다. 제가 원래 일본을 별로 좋아하지 않아서, 롯데 불매운동하고 있고, 마눌님이 몇 번을 일본여행 가자는 걸 계속 안 갔었습니다.... http://fb.me/60WjgA4SN",2016-12-24
홈쇼핑 여행상품은 거의 70~80%는 일본여행상품! 일본내 의사들도 후쿠시마 핵발전소 폭발사고이후 일본 남부지방으로 피해야한다는 신문기고를 하는데.. 일본여행 장려하는 대기업들은 모두 친일본계 회사? 또한 이들회사 제품들 불매운동 펼쳐야! https://twitter.com/kammuse/status/811678945212928001 …,2016-12-22
맞다 불매운동하면 일본만 주구장장 돌릴 소속사지...,2016-12-21
"일본기업 롯데(99.28%일본지분)""불매운동"" 롯데이용은 ""반애국자 적 소비"" 롯데마트 은평점,8억 뒷돈으로 골목상권 무혈입성 논란 인근 소상공인도 몰랐던 ‘소상공인 발전기금’ http://m.sisaweek.com/news/articleView.html?idxno=83728 … #소상공인연합회 #도화선pic.twitter.com/M7zEPKmtta",2016-12-09
">롯데 세무조사 등 중국이 한국 기업들을 상대로 보복성 조치를 쏟아내고 있지만, 우리 정부는 아무런 대응책을 내놓지 못함. 중국과 일본 간 영토 분쟁이 중국내 일본 제품의 불매운동으로 번지자, 일본 정부가 강경하게 대응했던 것과는 대조적임.",2016-12-05
홈플러스 불매운동으로 일본기업 망겝시다? 스스로 대한민국 뒤짚기 반란폭도들과 하나라는 걸 대한민국 전국민들에게 입증시켰군요.촛불시위 반란폭도 빼고 5000만 가까운 대한민국 수호 국민들이 홈플러스를 버립니다. pic.twitter.com/ktVJtRkQbD,2016-12-05
홈플러스 불매운동으로 일본기업 망겝시다? 스스로 대한민국 뒤짚기 반란폭도들과 하나라는 걸 대한민국 전국민들에게 입증시켰군요.촛불시위 반란폭도 빼고 5000만 가까운 대한민국 수호 국민들이 홈플러스를 버립니다. pic.twitter.com/f3i3mx3xTj,2016-12-05
홈플러스 불매운동으로 일본기업 망겝시다? 스스로 대한민국 뒤짚기 반란폭도들과 하나라는 걸 대한민국 전국민들에게 입증시켰군요.촛불시위 반란폭도 빼고 5000만 가까운 대한민국 수호 국민들이 홈플러스를 버립니다. pic.twitter.com/f3i3mx3xTj,2016-12-05
로리타룩 불매운동이라니 어리둥절... 일본의 로리타 양복을 말하는 거라면 소아성애와는 192736광년 떨어진 옷일텐디... 오히려 남자들이 기피할 옷이면 몰라ㅋㅋㅋㅋ,2016-12-05
일본 기업 유니클로가 저가의류 브랜드1위인 나라가 동해를 '일본해'로 표기한 구글맵으로 매장찾기를 서비스한다는 이유로 스웨덴 브랜드 H&M 을 불매운동 한다라.. 구글맵은 http://google.co.kr/maps 를 제외한 모든 나라에서 일본해,2016-12-05
일본해 표기·촛불집회 비하..자라·H&amp;M 불매운동 확산 | 다음 뉴스 http://v.media.daum.net/v/20161205090002168 … 자라는 이미 망할거고 H&M 니들도 망하고 싶은가보다? 원한다면 뜻대로 해주지! 옷 전부 싸가지고 나가라 일본에나 갖다 팔아!!!,2016-12-05
지금 한국은 무섭게 로리유행이 퍼지고 있습니다. 로리유행은 여러가지 문제를 만들어 냅니다.(일본을 보세요)이 유행을 막을 수 있는 건 소비자들입니다. 불매운동 합께합시다! pic.twitter.com/JZhhlKzWty,2016-12-04
"자라보다 유니클로가 더 문제! 일본 극우단체 후원사실도 있었고, 기사 내용같은 기망도 있었고, 롯데가 모셔온 것이기도 하고... ㅡㅡ 유니클로·자라, '불매운동' 두렵지 않나 http://v.media.daum.net/v/20161203080708266 …",2016-12-04
"SNS서 번지는 자라·H&amp;M 불매 운동 | 다음 뉴스 http://v.media.daum.net/v/20161204173259434 … 우리 영토는 일본것으로 표기하면서, 이땅에서 돈은 벌겠다는건가? 불매운동에 동참",2016-12-04
자라코리아 불매운동 찬성합니다. 말과 행동에 따른 응답이 있어야합니다. 일본해를 표시가하고 시위나온 국민을 능멸하는 자라코리아 대표에게 응답합니다. 니네나라 일본으로 가라!,2016-12-04
"이나라 좀먹는 ""일본 홈프러스 전라도 제품"" 불매운동 시민연대 출벙!",2016-12-02
"'자라 코리아' 불매운동 확산...이완용 흡사발언에 일본해 표기까지..독도도 일본명 '리앙쿠르 암초' 표기...한국정서 나몰라라? [단독] ""학생은 공부"" 불매 번진 자라...한국 공식홈엔 '일본해' [단독] http://news1.kr/articles/?2846554 …",2016-12-02
조부숭 아일불이 머임. 아여러분콜드플레이 일본제국주의찬양한대요 불매운동합시다. 줄임말인가,2016-11-23
[경향포토]한일 군사정보보호협정 서명식 일방적 비공개에 항의하는 사진기자들 http://v.media.daum.net/v/20161123104814713 … 진짜 불매운동 할 타이밍 아닌가?? 대일 무역 적자가 얼마인데.. 독도는? 위안부할머니는? 방시능오염 물고기는? 일본은 쓰레기,2016-11-23
대한민국 좌좀들 천호식품 회장이 한마디 했다고 날뛰는거 보니 가관이네.. 불매운동은 물론이고 인터넷에 비방글까지... 소신발언일뿐인데.... 일본에 북한전문가가 한 말이 있지... 대한민국은 북한 동조세력에 의해 적화돼었다 월남패망과 똑같은 상황이라고,2016-11-21
천호식품 대표가 꿈꾸는 나라는 '내가 돈 많이 버는 나라'입니다. 최순실과 같은 거죠. 이런 자가 일제시대에 살았다면 그의 조국은 일본입니다. 친일했어야 돈 많이 버니까요. 불매운동은 계속되어야한다.,2016-11-19
천호식품 회장이 잘못한건데 불매운동은 너무하네요 아베 수상이 잘못한거지 일본 전체를 싫어하는건 너무하네요 ...둘 다 같은 뜻이죠.,2016-11-19
#삼성불매운동 삼성 물건 애용하는데 이유가?? 그 일본 지우개 불매운동하는건 알겠는데..,2016-11-14
일본 불매운동 빠워 갑은 유키지루시 사건이랑 안티 도시바 사이트였제,2016-11-14
일본 사람들 불매운동 등 자신들이 받는 불이익에 대해 저항할때 그 단결력이 어마어마하다. 3000만원으로 여행갔다고 울고불고 사죄하던 일본 정치가 생각하면ㅎㅎ 국민이 무서워야 하는데..,2016-11-14
"美대통령당선,트럼프공약으로살핀 현대기아차의전망!미국메이커와 미국에생산공장많이가지고있는 일본메이커들이가져갈가능성크다.현대차는30%수출,기아차는70%수출이기에 악재될것.국내에선 현기차 불매운동벌어진다면 빠이될듯! http://auto.daum.net/review/read.daum?articleid=233002&page=1&bbsid=27 …",2016-11-10
ㅋㅋㅋㅋ웃기는 기업광고네요 일본우익 지원하는 기업이라 불매운동중인걸 알고 야쿠르트 아줌마 선행을 내세워 광고를?,2016-11-09
http://m.breaknews.com/a.html?uid=454722&section=sc3#cb … 일본 다이소는 독도를 다케시마로 바꾸는 운동을 후원함. 이 기사를 보면 우리나라 다이소도 결국 구매하지 말아야 함. ㅅㅂ 아니라매 개뻥까침. 불매운동해야함,2016-11-09
"일본이 어떤덴줄 아나 ㅋㅋ 한국 가습기 사태랑 확연하게 비교하는 사례가 잇는데, 저나라에서 불매운동 일어나면 진짜 기업이 위기를 느낄 정도라 자진해서 사과글 올리고 자숙함. 근데 한국은? ->니들이 불매해봣자 ㅋㅋㅋㅋㅋ 이 마인드지",2016-11-02
<--- '정권이 이어지는 한'? 대한민국이 가짜 무당없이는 정치를 해봤던 적도 없는 대통령 밑에서 유지되기 바라나? 항일시위 및 일본제품 불매운동 벌어지기전에 조용하시길~.,2016-10-30
진짜 이번 910만은 좀 많이 미쳤고 전 일본 한국 나이츠 오시들+a가 불매운동+메일로 불만 표현해도 그다지 이상할 게 없을 것 같다,2016-10-26
일본은 그래서 한번 불매운동 하지않았나? 좀 심하긴 함..,2016-10-26
일본 원숭이 새.끼들이 쳐돌았나... 일본제품 불매운동 하자.. 아베새.끼덕에 일본 쪽바리들이 개념상실한 듯하네.. http://naver.me/FvYEZegp,2016-10-07
일본이 관련되면 애국심에 불타오르는 지사들이 너무나 많아서…… 얼마전에 ㄹㄹ웹에서 우익게임이라면서 막 불매운동 하는 것도 그렇고…… 빨간색 방사형 무늬만 보면 반사적으로 욱일기를 외치고……,2016-10-06
