common_nouns,2015,2016~2019 before July,2019 after July
유린,3,88,400
민족,1,72,400
뒤끝,62,72,341
매국,14,66,341
인정,1,66,324
대적,1,58,324
트위터,9,56,303
부산,51,55,303
혼자,1,55,300
재벌,14,55,300
조국,1,55,269
학생,1,52,265
인상,1,52,265
취하,1,50,256
디자인,14,50,247
단합,1,46,247
악화,365,40,246
장사,876,40,227
해양,78,38,227
표시,41,38,211
강제,9,37,211
편이,19,37,196
비자,15,35,196
기사,15,35,187
거짓,11,35,187
세무조사,6,35,175
의원,5,31,175
면세점,5,31,170
묵인,10,30,170
상권,5,30,160
제한,8,27,160
지배,4,26,149
요청,45,26,149
시작,20,26,146
선택,11,26,138
동시,2,26,138
욕,1,26,136
도움,79,25,136
전자,1,25,136
잘못,1,25,136
진행,2,24,126
문,1,23,121
외화,1,22,118
우선,1,22,118
돈벌이,1,22,113
상인,1,22,113
뉴스,1,22,112
야스쿠니,3,22,105
평화,1,21,105
열사,3,21,103
사장,3,20,103
수출,17,20,103
경쟁,1,20,96
내용,2,20,96
요구,15,20,95
보수,22,20,94
의미,1,19,94
제과,1,19,94
압박,7,18,94
일본국,5,17,93
의지,14,17,93
핵발전소,1,17,93
기업인,1,17,93
기지,4,17,91
쪽바리,18,17,91
느낌,1,16,91
물질,1,16,91
근성,1,16,90
기아차,69,16,90
메인,77,14,89
침략,77,14,88
대국민,11,14,88
횡포,7,14,88
연합뉴스,7,14,87
용서,7,14,87
본토,7,14,87
유포,14,13,85
입장,14,13,85
재단,14,13,85
국민,34,13,85
관광,18,13,85
여자,12,12,85
문화,1,12,84
목록,5,12,84
영업,4,12,83
자동차,1,12,83
왜놈,49,12,82
과거,1,12,82
대주,1,12,82
홀딩스,1,12,82
위원장,1,12,81
삼일절,1,12,80
경제,13,11,80
일본정부,1,11,80
라면,1,11,80
사건,1,11,80
주장,1,11,78
영화,1,11,77
개념,3,11,77
식민지,1,11,77
이미지,1,11,77
인도,1,11,77
남양,3,11,76
사례,3,11,76
아래,3,11,75
물건,1,11,75
이야기,1,11,75
애니,1,11,75
차단,3,11,74
자금,2,11,74
팔로,3,11,74
매출,1,11,74
서명,6,11,74
신사,1,11,74
수습,1,10,72
법안,1,10,72
소상,1,10,72
사용,9,10,71
백화점,1,10,71
노컷뉴스,1,10,70
맛,1,10,70
조정,1,10,68
소비,2,10,68
신동주,3,10,67
헬로키티,1,10,67
교수,2,9,66
세력,16,9,66
스타일,6,9,66
전혀,6,9,66
일본음식,1,9,65
반일,1,9,65
세븐일레븐,1,9,64
테러,3,9,64
결의,1,9,64
방송,5,9,64
대응,1,9,64
의혹,1,9,64
성공,9,9,63
그간,1,9,63
조중동,11,9,63
주주,3,9,63
이름,1,8,63
친일파,3,8,63
방안,9,8,63
법적,3,8,63
상장,70,8,62
구매,31,8,62
옹호,2,8,61
해외,9,8,61
동의,16,8,61
논란,8,8,61
유출,2,8,60
국수,6,8,60
미화,1,8,60
전범,7,8,60
미쓰비시,14,8,59
마찬가지,6,8,59
모욕,6,8,59
국내,2,8,58
이심전심,1,8,58
중단,1,8,58
곳곳,1,8,58
살수,1,8,58
실천,1,8,58
항의,2,8,58
철거,12,8,57
대통령,3,8,57
결과,15,8,57
한국인,11,8,57
뒷돈,7,7,56
소비자,5,7,56
이나,10,7,55
사과,5,7,55
지랄,11,7,55
반역,1,7,55
부품,1,7,54
반발,13,7,54
애국,1,7,54
밑,1,7,54
부정,1,7,54
모습,1,7,53
초기,2,7,53
한국,6,7,53
소재,14,7,53
마당,7,7,52
코리아,2,7,52
시민,1,7,52
역사왜곡,1,7,52
사업,1,7,52
이벤트,4,7,52
매국노,1,7,52
독도,1,7,52
이득,2,7,52
운동,2,7,52
정권,1,7,52
성노예,1,7,51
펜,8,7,51
국가,1,7,51
배제,4,7,50
편의점,30,7,49
벌이,22,7,49
아사히,21,7,49
지인,23,7,49
할머니,19,7,49
협상,11,7,49
포기,7,6,49
동영상,26,6,49
혜택,19,6,49
선언,5,6,49
고집,1,6,49
수익,6,6,49
비시,6,6,49
보상,6,6,48
감정,11,6,48
법,6,6,48
유지,6,6,48
생산,8,6,47
회사,7,6,47
아시아,8,6,47
정치,7,6,47
확산,7,6,47
쇼핑몰,10,6,47
올림픽,10,6,47
잎,5,6,47
독립운동가,5,6,47
보호,11,6,47
혐한,15,6,47
직원,5,6,46
짓거리,14,6,46
주민,5,6,46
주의,11,6,46
지구,27,6,46
영웅,5,6,46
잔재,11,6,45
중국인,5,6,45
사회,5,6,45
피해자,5,6,45
응원,5,6,45
미국인,5,6,45
불법,10,6,45
제안,1,6,45
