시도,2011년,2012년,2013년 ,2014년,2015년,2016년,2017년,2018년,2019년
부산광역시,20,49,87,99,110,124,143,160,153
대구광역시,45,56,86,96,104,103,113,117,107
인천광역시,32,31,70,79,91,111,124,133,132
광주광역시,21,25,40,46,56,75,87,97,95
대전광역시,43,49,88,95,99,136,141,147,137
울산광역시,40,39,59,60,65,83,97,106,103
세종특별자치시,0,2,8,10,11,14,17,19,19
경기도,184,197,404,435,495,590,609,609,577
강원도,32,41,90,93,98,109,110,112,104
충청북도,31,31,67,72,78,84,89,92,84
충청남도,23,28,96,95,101,103,112,112,100
전라북도,40,40,71,83,93,105,106,111,106
전라남도,27,29,47,48,56,64,79,88,82
경상북도,41,49,79,104,117,139,155,157,151
경상남도,72,82,119,113,123,148,162,172,163
제주특별자치도,28,30,81,93,99,113,121,124,118
