"구군","종별","의료기관명","소   재   지","일반 병상수","정신 병상수","요양 병상수","개설일자","전화번호"
"중구","종합병원","의료법인 동강의료재단 동천동강병원","울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)","255","0","0","2016-05-31","052-702-3110"
"중구","종합병원","의료법인 동강의료재단 동강병원","울산광역시 중구 태화로 239 (태화동)","600","0","0","1981-06-22","052-241-1130"
"중구","병원","아이윤안과병원","울산광역시 중구 번영로 371, 3,6,7,12층 (학산동)","30","0","0","2016-12-31","052-291-0087"
"중구","병원","튼튼아동병원","울산광역시 중구 번영로 590, 5,6,7층 (남외동)","50","0","0","2012-08-30","052-212-7575"
"중구","병원","울산H병원","울산광역시 중구 화합로 363 (반구동)","102","0","0","2012-04-20","052-295-7101"
"중구","병원","사람이소중한병원","울산광역시 중구 학성로 118, 1~6층 (옥교동)","4","78","0","2012-03-02","052-227-7511"
"중구","병원","맘스여성병원","울산광역시 중구 남외2길 36 (남외동)","46","0","0","2011-03-24","052-290-6000"
"중구","병원","박병원","울산광역시 중구 학성로 121, 지하1, 2~7층 (옥교동)","37","0","0","2009-10-06","052-210-8094"
"중구","병원","우정병원","울산광역시 중구 명륜로 17, 2,3,6층 (태화동)","53","0","0","2008-03-05","052-703-7006"
"중구","병원","의료법인에스엠씨의료재단울산세민병원","울산광역시 중구 학성로 184 (학성동)","149","0","0","2006-04-20","052-290-0052"
"중구","병원","유성병원","울산광역시 중구 장춘로 169 (학산동)","36","0","0","2005-11-28","052-210-0100"
"중구","병원","강서병원","울산광역시 중구 북부순환도로 107 (다운동)","59","0","0","1995-01-04","052-249-1501"
"중구","일반요양병원","효성요양병원","울산광역시 중구 학산로 5 (학산동)","0","0","150","2017-03-10","052-288-6100"
"중구","일반요양병원","의료법인 청남의료재단  세민에스요양병원","울산광역시 중구 내황4길 11 (반구동)","0","0","336","2014-09-12","052-920-1094"
"중구","일반요양병원","의료법인주보배의료재단 주성혜요양병원","울산광역시 중구 도화골14길 3, 1-5층 (복산동)","0","0","166","2012-11-08","052-700-8275"
"중구","일반요양병원","의료법인 성덕의료재단 위너스자연요양병원","울산광역시 중구 함월20길 89 (성안동)","0","0","113","2012-07-23","052-245-0002"
"중구","일반요양병원","의료법인 우아의료재단 길메리요양병원","울산광역시 중구 서원1길 106 (반구동)","0","0","199","2011-09-01","052-296-0030"
"중구","의원","조석수비뇨기과의원","울산광역시 중구 번영로 485, 3층 (약사동)","0","0","0","2017-10-27","052-296-0075"
"중구","의원","우리이비인후과의원","울산광역시 중구 유곡로 26, 2층 (우정동)","0","0","0","2017-07-25","052-248-6565"
"중구","의원","봄정신건강의학과의원","울산광역시 중구 번영로 580, 4층 401호 (남외동, SkyM빌딩)","0","0","0","2017-05-29","052-281-7900"
"중구","의원","니와미즈 의원","울산광역시 중구 종가6길 32, 9층 902호 (우정동, KL 빌딩)","0","0","0","2017-03-06","052-245-8275"
"중구","의원","이유성형외과의원","울산광역시 중구 강북로 123, 101동 3층 305, 306, 307, 308호 (옥교동, 태화강엑소디움)","0","0","0","2016-12-14","052-244-2626"
"중구","의원","더편한마취통증의학과의원","울산광역시 중구 번영로 371 (학산동)","0","0","0","2016-07-29","052-242-3456"
"중구","의원","정연정산부인과의원","울산광역시 중구 명륜로 17, 4층 (태화동, SNU우정병원)","0","0","0","2016-05-10","052-252-7737"
"중구","의원","닥터에스의원","울산광역시 중구 번영로 487, 4층 (약사동)","0","0","0","2016-05-04","052-710-3382"
"중구","의원","강소아청소년과의원","울산광역시 중구 종가17길 52, 2층 201호 (서동)","0","0","0","2016-01-26","052-291-2541"
"중구","의원","아이미길흉부외과의원","울산광역시 중구 번영로 371, 4~5층 (학산동)","0","0","0","2015-12-28","052-267-7779"
"중구","의원","본가정의학과의원","울산광역시 중구 반구로 46, 2층 (반구동)","0","0","0","2015-07-31","052-991-1462"
"중구","의원","아로마벨피부과의원","울산광역시 중구 문화의거리 17, 2층 (성남동)","0","0","0","2015-07-21","052-245-8819"
"중구","의원","연세리버내과의원","울산광역시 중구 화진길 13-2, 701호 (태화동, 리버스위트상가)","0","0","0","2015-07-08","052-211-7575"
"중구","의원","류마장구본승내과의원","울산광역시 중구 번영로 484, 2층 (반구동)","0","0","0","2015-05-28","052-292-0303"
"중구","의원","주소아청소년과의원","울산광역시 중구 종가4길 9, 3층 (유곡동)","0","0","0","2015-05-21","052-248-0099"
"중구","의원","한국산업안전보건공단 직업건강의원","울산광역시 중구 종가로 400 (북정동)","0","0","0","2014-11-28","052-703-0890"
"중구","의원","느티나무의원","울산광역시 중구 성안로 192, 2층 (성안동)","0","0","0","2014-11-14","052-243-2002"
"중구","의원","눈사랑안과의원","울산광역시 중구 번영로 582, 3층 (남외동)","0","0","0","2014-03-17","052-282-7117"
"중구","의원","울산민내과의원","울산광역시 중구 명륜로 41 (태화동)","0","0","0","2014-02-11","052-242-0004"
"중구","의원","아주재활의학과의원","울산광역시 중구 번영로 590 (남외동)","7","0","0","2014-01-22","052-297-7475"
"중구","의원","키즈튼튼소아청소년과의원","울산광역시 중구 명륜로 41, 6층 (태화동)","0","0","0","2013-09-26","052-211-9977"
"중구","의원","인산림의원","울산광역시 중구 번영로 484 (반구동)","0","0","0","2013-09-24","052-286-9788"
"중구","의원","정내과의원","울산광역시 중구 다운로 47 (다운동)","0","0","0","2013-09-02","052-295-8822"
"중구","의원","더웰내과의원","울산광역시 중구  번영로  576 (남외동)","0","0","0","2013-04-18","052-298-8875"
"중구","의원","김대연정형외과의원","울산광역시 중구 명륜로 41, 5층 (태화동, 부익빌딩)","0","0","0","2012-09-19","052-211-7550"
"중구","의원","최소영소아청소년과의원","울산광역시 중구 평동3길 1, 122동 202,203,204호 (유곡동, 울산유곡푸르지오)","0","0","0","2012-09-07","052-248-6442"
"중구","의원","삼성서울피부과의원","울산광역시 중구 번영로 576, 3층 (남외동)","0","0","0","2012-07-17","052-258-7585"
"중구","의원","시원한이비인후과의원","울산광역시 중구 번영로 590, 4층 (남외동)","1","0","0","2012-05-30","052-248-1002"
"중구","의원","김수현내과의원","울산광역시 중구 번영로 566, 4층 (남외동)","4","0","0","2012-02-14","052-296-4200"
"중구","의원","우정성모안과의원","울산광역시 중구 명륜로 17, 4층 (태화동, 태화빌딩)","0","0","0","2011-03-02","052-211-0082"
"중구","의원","시계탑리즈여성의원","울산광역시 중구 학성로 99, 4층 (옥교동)","0","0","0","2010-12-09","052-249-1004"
"중구","의원","서울연합의원","울산광역시 중구 유곡로 29, 4층 (태화동)","0","0","0","2010-12-08","052-212-2700"
"중구","의원","우정피부과의원","울산광역시 중구 명륜로 17, 4층 (태화동)","0","0","0","2010-06-29","052-249-7283"
"중구","의원","이수진소아청소년과의원","울산광역시 중구 번영로 582, 5층 (남외동)","0","0","0","2010-04-15","052-295-7585"
"중구","의원","명품피부과의원","울산광역시 중구 번영로 580, 801호 (남외동, Sky M 빌딩)","0","0","0","2010-03-22","052-281-7577"
"중구","의원","현내과의원","울산광역시 중구 화진길 13-2, 5,6층 (태화동, 리버스위트상가)","0","0","0","2010-03-04","052-248-0875"
"중구","의원","백봉력내과의원","울산광역시 중구 번영로 485, 2층 (약사동)","0","0","0","2010-03-02","052-281-1061"
"중구","의원","마리포사산부인과의원","울산광역시 중구 번영로 580, 5층 (남외동)","0","0","0","2009-05-18","052-281-4454"
"중구","의원","한솔마취통증의학과의원","울산광역시 중구 번영로 582, 6층 (남외동)","0","0","0","2008-10-13","052-221-7575"
"중구","의원","베스트비뇨기과의원","울산광역시 중구 번영로 574, 5층 (남외동)","0","0","0","2008-09-01","052-281-3773"
"중구","의원","한마음가정의학과의원","울산광역시 중구 성안로 200 (성안동)","0","0","0","2008-07-11","052-236-7279"
"중구","의원","한양재활의학과의원","울산광역시 중구 번영로 574 (남외동, 동천빌딩(3층))","0","0","0","2008-03-11","052-286-5475"
"중구","의원","가나의원","울산광역시 중구 옥교6길 7, 2층 (학산동)","0","0","0","2007-12-11","052-222-3233"
"중구","의원","푸른내과의원","울산광역시 중구 장춘로 114, 201호 (성남동, 영성빌딩)","0","0","0","2007-02-21","052-242-1555"
"중구","의원","세한정형외과의원","울산광역시 중구 번영로 484 (반구동, 3층, 5층)","0","0","0","2006-10-25","052-291-1199"
"중구","의원","신세계정형외과의원","울산광역시 중구 화합로 360-1 (반구동)","28","0","0","2006-09-01","052-296-2397"
"중구","의원","명석준안과의원","울산광역시 중구 번영로 487, 5층 (약사동)","0","0","0","2006-07-24","052-296-7778"
"중구","의원","신이비인후과의원","울산광역시 중구 번영로 487, 3층 (약사동, 대호빌딩)","0","0","0","2006-07-03","052-294-7582"
"중구","의원","참사랑가정의학과의원","울산광역시 중구 학성로 173 (학성동)","0","0","0","2006-06-30","052-297-6080"
"중구","의원","평화의원","울산광역시 중구 화합로 359 (반구동)","0","0","0","2006-03-13","052-295-7506"
"중구","의원","병영마취통증의학과의원","울산광역시 중구 번영로 580 (남외동,Sky M빌딩 403호)","0","0","0","2006-02-24","052-298-8275"
"중구","의원","강남의원","울산광역시 중구 곽남길 5, 5층 (약사동, 금화빌딩)","0","0","0","2005-10-07","052-281-5583"
"중구","의원","임채갑가정의학과의원","울산광역시 중구 태화로 184 (태화동)","0","0","0","2005-05-03","052-292-7582"
"중구","의원","삼성키즈소아청소년과의원","울산광역시 중구 함월로 113 (성안동)","0","0","0","2005-02-25","052-246-0019"
"중구","의원","서울가정의학과의원","울산광역시 중구 서원6길 4, 2층 (반구동)","0","0","0","2004-05-03","052-282-9990"
"중구","의원","다솜의원","울산광역시 중구 병영로 10 (남외동)","0","0","0","2004-02-17","052-294-9581"
"중구","의원","이상의원","울산광역시 중구 번영로 573 (남외동)","0","0","0","2003-12-22","052-297-2616"
"중구","의원","손재일이비인후과의원","울산광역시 중구 유곡로 11 (태화동)","0","0","0","2003-10-11","052-246-3930"
"중구","의원","굿모닝가정의학과의원","울산광역시 중구 다운로 46 (다운동)","0","0","0","2003-10-07","052-277-0212"
"중구","의원","신울산의원","울산광역시 중구 화합로 409, 2층 (반구동)","0","0","0","2003-10-04","052-293-3035"
"중구","의원","박상수소아청소년과의원","울산광역시 중구 태화로 172 (태화동)","0","0","0","2003-03-20","052-246-5090"
"중구","의원","태강내과의원","울산광역시 중구 번영로 475, 5층 (복산동, 홈플러스)","0","0","0","2001-12-03","052-292-2975"
"중구","의원","추소아청소년과의원","울산광역시 중구 다운로 117, 2층 (다운동)","0","0","0","2001-04-13","052-223-8875"
"중구","의원","미래산부인과의원","울산광역시 중구 중앙길 95 (성남동)","0","0","0","2001-03-02","052-243-6002"
"중구","의원","복음의원","울산광역시 중구 북부순환도로 605 (복산동)","0","0","0","2000-12-08","052-294-7571"
