"구분","단지명","위치","면적","사업기간","사업비","유치업종","입주업체(공장가동)","입주업체(비가동)","가동율"
"조성완료","매곡일반산업단지","울산광역시 북구 매곡동 342-1번지 일원","556천㎡ ","2002 ~ 2006년","611억원(공사 341, 보상 250, 기타 20)","자동차 관련 부품제조업(30), 기타기계 및 장비관련 제조업(29) 등","54","1","98"
"조성완료","매곡2일반산업단지","울산광역시 북구 매곡동 일원","234천㎡","2009 ~ 2014년","58,600억원(공사비 33,421 보상비 19,929 기타 5,250)","자동차 및 트레일러 제조업(30), 기계 및 장비 제조업(29)","22","11","65.63"
"조성완료","매곡3차일반산업단지","울산광역시 북구 매곡동 일원","234천㎡","2009 ~ 2014년","58,600억원(공사비 33,421 보상비 19,929 기타 5,250)","자동차 및 트레일러 제조업(30), 기계 및 장비 제조업(29)","22","11","65.63"
"조성완료","중산일반산업단지","울산광역시 북구 중산동 일원","128천㎡ ","2005 ~ 2009년","302억원(공사비 116 보상비 181 기타 5)","자동차 및 트레일러제조업(30), 기타기계 및 장비제조업(29), 태양력발전업(35119)","18","0","100"
"조성완료","중산2차일반산업단지","울산광역시 북구 중산동 일원","365천㎡","2008 ~ 2014년","792억원","자동차 및 트레일러 제조업(30), 기타 기계 및 장비제조업(29)","33","10","76.70"
"조성완료","모듈화일반산업단지","울산광역시 북구 효문, 연암동 일원","863천㎡","2009 ~ 2013년","1,346억원(공사비 626, 보상비 597, 기타 123)","모듈화 업종, 전문메이커 업종(자동차 전용부품)","26","4","86.00"
"조성완료","길천1차 일반산업단지","울산광역시 울주군 상북면 길천리·거리 일원","529천㎡","2005 ~ 2009년","732억원(공사 188, 보상 513, 기타 31)","자동차 관련 부품제조업, 전기·전자 관련 제조업 등 [26, 29, 30, 35119]","32","4","88.90"
"조성완료","길천2차(1단계)일반산업단지","울산광역시 울주군 상북면 길천리·거리 일원","524천㎡","2008 ~ 2012년","801억원","자동차 관련 부품제조업, 전기·전자 관련 제조업 등 [26, 29, 30, 35119]","45","4","91.80"
"조성완료","봉계일반산업단지","울산광역시 울주군 두동면 봉계리 일원","255천㎡","2008 ~ 2013년","401억원(공사 185, 보상 170, 기타 46)","자동차 및 트레일러 제조업(30), 기타 운송장비 제조업(31), 금속가공제품 제조업(25), 기타 기계 및 장비 제조업(29), 태양력발전업(35119)","7","2","77.80"
"조성완료","신일반산업단지","울산광역시 울주군 온산읍 처용리, 청량면 용암리 일원","2,423천㎡"," 2001 ~ 2013년","4,185억원(공사비 1,307 보상비 2,340 기타 538)","의료(21), 1차금속(24), 금속가공(25), 통신(26), 광학기기(27), 전기(28), 기계및장비(29), 자동차(30) 및 기타 운송장비(31), 태양력발전업(35119)","66","4","94.20"
"조성중","High Tech Valley(1단계)일반산업단지","울산광역시 울주군 삼남면 가천리 일원","228천㎡"," 2006 ~ 2018년","1,807억원(공사비 250 보상비 1,477 기타 80) ","전자부품 기타 통신장비, 금속가공제조업, 전기장비제조업","0","7","0"
"조성중","길천2차(2단계)일반산업단지","울산광역시 울주군 상북면 양등리 일원","490천㎡","2014 ~ 2019년","845억원(공사 295, 보상 500, 기타 50) ","자동차관련 제조업, 기타기계 및 장비 제조업 등","0","5","0"
"조성중","이화일반산업단지","울산광역시 북구 중산동 일원","694천㎡","2008 ~ 2019년","903억원","자동차 및 트레일러 제조","0","0","0"
"조성중","테크노일반산업단지","울산광역시 남구 두왕동 242번지 일원","1,287천㎡","2008 ~ 2018년","3,736억원(산단공 3,254, 도시공사 362, 시 120)","R&D, 첨단융합부품, 신재생에너지, 수송기계, 정밀화학","0","80","0"
"민간산업단지","KCC울산 일반산업단지","울산광역시 울주군 두서면 활천리","1,165천㎡","2009 ~ 2019년","2,459억원","펄프·종이 및 종이제품(17), 금속가공제품(25), 비금속 광물제품(23), 전기장비(28), 기타 기계 및 장비(29), 자동차트레일러(30), 기타 운송장비(30), 창고 및 운송관련 서비스업(52)","16","15","51.61"
"민간산업단지","반천일반산업단지","울산광역시 울주군 언양읍 반천리 산 159번지 일원","1,373천㎡","2009 ~ 2017년","1,991억원","1차금속(24), 금속가공제품(25), 전기장비(28), 기타기계 및 장비(29), 자동차 및 트레일러(30), 기타운송장비(31)","45","19","70.31"
"민간산업단지","GW일반산업단지","울산광역시 울주군 온양읍 내광리 산77번지 일원","450천㎡","2013 ~ 2020년","1,403억원","1차금속, 기계·장비, 자동차·트레일러, 기타운송장비","0","12","0"
"민간산업단지","전읍 일반산업단지","울산광역시 울주군 두서면 전읍리 292-3번지 일원","72천㎡","2010 ~ 2015년","0","금속가공제품 제조업, 자동차 및 트레일러 제조업","2","1","67"
"민간산업단지","와지 일반산업단지","울산광역시 울주군 웅촌면 고연리 산 272-1번지 일원","126천㎡","2009 ~ 2014년","0","자동차 및 트레일러 제조업, 고무 및 플라스틱 제조업","17","12","70"
"민간산업단지","작동 일반산업단지","울산광역시 울주군 삼동면 작동리 773-2","149천㎡","2009 ~ 2019년","조성중","기타제품제조업","0","0","0"
