,CGV매장,주소
0,CGV강남,"['서울특별시', '강남구']"
1,CGV강변,"['서울특별시', '광진구']"
2,CGV건대입구,"['서울시', '광진구']"
3,CGV구로,"['서울특별시', '구로구']"
4,CGV대학로,"['서울특별시', '종로구']"
5,CGV동대문,"['서울시', '중구']"
6,CGV등촌,"['서울특별시', '강서구']"
7,CGV명동,"['서울특별시', '중구']"
8,CGV명동역 씨네라이브러리,"['서울특별시', '중구']"
9,CGV목동,"['서울특별시', '양천구']"
10,CGV미아,"['서울특별시', '강북구']"
11,CGV불광,"['서울특별시', '은평구']"
12,CGV상봉,"['서울시', '중랑구']"
13,CGV성신여대입구,"['서울특별시', '성북구']"
14,CGV송파,"['서울특별시', '송파구']"
15,CGV수유,"['서울시', '강북구']"
16,CGV신촌아트레온,"['서울특별시', '서대문구']"
17,CGV압구정,"['서울특별시', '강남구']"
18,CGV여의도,"['서울특별시', '영등포구']"
19,CGV영등포,"['서울특별시', '영등포구']"
20,CGV왕십리,"['서울특별시', '성동구']"
21,CGV용산아이파크몰,"['서울특별시', '용산구']"
22,CGV중계,"['서울특별시', '노원구']"
23,CGV천호,"['서울시', '강동구']"
24,CGV청담씨네시티,"['서울특별시', '강남구']"
25,CGV피카디리1958,"['서울특별시', '종로구']"
26,CGV하계,"['서울특별시', '노원구']"
27,CGV홍대,"['서울특별시', '마포구']"
0,CGV광교상현,"['경기도', '용인시', '수지구']"
1,CGV광명철산,"['경기도', '광명시', '철산동']"
2,CGV구리,"['경기도', '구리시', '인창동']"
3,CGV김포,"['경기도', '김포시', '사우동']"
4,CGV김포운양,"['김포시', '운양동', '1296-9번지']"
5,CGV김포풍무,"['경기도', '김포시', '풍무동']"
6,CGV김포한강,"['경기도', '김포시', '걸포동']"
7,CGV동백,"['경기도', '용인시', '기흥구']"
8,CGV동수원,"['경기도', '수원시', '팔달구']"
9,CGV동탄,"['경기도', '화성시', '반송동']"
10,CGV동탄역,"['경기도', '화성시', '오산동']"
11,CGV배곧,"['경기', '시흥시', '정왕동']"
12,CGV범계,"['경기도', '안양시', '동안구']"
