시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,산3**,임야,제1종일반주거지역,12m미만,201809,5,64.14,1977,지분,17,126804.78
울산광역시 울주군,9**,전,제2종일반주거지역,-,201809,5,242.0,12500, ,17,3025000.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,5,52.0,3745, ,17,194740.0
울산광역시 울주군,1***,대,제2종일반주거지역,25m미만,201809,5,396.8,60000, ,17,23808000.0
울산광역시 울주군,산6*,임야,제1종일반주거지역,-,201809,6,30.0,1323,지분,17,39690.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,6,33.0,1470,지분,17,48510.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,6,49.0,2205,지분,17,108045.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,6,66.0,2940,지분,17,194040.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,6,66.0,2940,지분,17,194040.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,6,66.0,2940,지분,17,194040.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201809,6,115.5,3635,지분,17,419842.5
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,6,82.0,3749,지분,17,307418.0
울산광역시 중구 ,2**,대,제1종전용주거지역,12m미만,201809,6,245.2,33345, ,12,8176194.0
울산광역시 중구 ,2**,전,제2종일반주거지역,25m미만,201809,6,47.75,9500,지분,12,453625.0
울산광역시 울주군,6*,답,제1종일반주거지역,-,201809,7,694.0,16000,지분,17,11104000.0
울산광역시 북구 ,1***,묘지,제1종일반주거지역,-,201809,7,244.0,2900, ,12,707600.0
울산광역시 울주군,4**,전,제1종일반주거지역,8m미만,201809,7,571.0,43000, ,17,24553000.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,7,268.0,9000,지분,17,2412000.0
울산광역시 중구 ,1**,대,제1종전용주거지역,12m미만,201809,9,301.1,36000, ,12,10839600.0
울산광역시 동구 ,9**,도로,제2종일반주거지역,8m미만,201809,9,25.05,550,지분,12,13777.5
울산광역시 울주군,7**,묘지,제2종일반주거지역,-,201809,10,60.0,2300, ,17,138000.0
울산광역시 북구 ,6**,대,제2종일반주거지역,8m미만,201809,10,24.0,2760, ,12,66240.0
울산광역시 울주군,2**,대,제1종일반주거지역,8m미만,201809,10,116.0,3000, ,17,348000.0
울산광역시 북구 ,6**,대,제2종일반주거지역,8m미만,201809,10,30.0,3440, ,12,103200.0
울산광역시 중구 ,1**,대,제1종전용주거지역,12m미만,201809,10,282.1,33000, ,12,9309300.0
울산광역시 울주군,1***,임야,제1종일반주거지역,-,201809,10,132.0,5100,지분,16,673200.0
울산광역시 북구 ,9*,답,제1종일반주거지역,25m미만,201809,11,297.0,18000, ,12,5346000.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201809,11,115.5,3635,지분,17,419842.5
울산광역시 북구 ,4**,대,제2종일반주거지역,-,201809,11,73.0,5700, ,12,416100.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,165.0,2817, ,17,464805.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,165.0,2817, ,17,464805.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,165.0,2817, ,17,464805.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,165.0,2817, ,17,464805.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,215.0,3672, ,17,789480.0
울산광역시 북구 ,5**,도로,제2종일반주거지역,-,201809,12,10.0,300,지분,12,3000.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,12,275.0,4695, ,17,1291125.0
울산광역시 울주군,4**,도로,제1종일반주거지역,8m미만,201809,13,42.0,1100, ,17,46200.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201809,13,331.0,16500, ,17,5461500.0
